Stock ID,Stock Name,Jurisdiction,FMP,Science Center,Regional Ecosystem,FSSI Stock?,ITIS Taxon Serial Number,Scientific Name,Common Name,Stock Area,Assessment ID,Assessment Year,Assessment Month,Last Data Year,Update Type,Review Result,B Year,Estimated B,B Unit,B Basis,Blimit,Blimit Basis,Bmsy,Bmsy Basis,B/Blimit,B/Bmsy,MSY,MSY Unit
10413,Bocaccio - Southern Pacific Coast,PFMC,Pacific Coast Groundfish,NWFSC / SWFSC,California Current,Y,166733,Sebastes paucispinis,Bocaccio,Southern Pacific Coast,964,2007,9,2006,Full Update,Full acceptance,2006,1727,billion eggs,Female reproductive output,3393,SB25%,5428.799805,SB40%,0.509000003,0.317999989,1974,mt
10413,Bocaccio - Southern Pacific Coast,PFMC,Pacific Coast Groundfish,NWFSC / SWFSC,California Current,Y,166733,Sebastes paucispinis,Bocaccio,Southern Pacific Coast,1899,2009,9,2008,Benchmark,Full acceptance,2009,2209900,larvae,Female reproductive output,1965000,SB25%,3144000,SB40%,1.125,0.703000009,1250,mt
10413,Bocaccio - Southern Pacific Coast,PFMC,Pacific Coast Groundfish,NWFSC / SWFSC,California Current,Y,166733,Sebastes paucispinis,Bocaccio,Southern Pacific Coast,3008,2011,11,2010,Full Update,Full acceptance,2011,2.029000044,"trillion eggs
",Female reproductive output,1.952999949,SB25%,3.125,SB40%,1.039000034,0.648999989,,
10413,Bocaccio - Southern Pacific Coast,PFMC,Pacific Coast Groundfish,NWFSC / SWFSC,California Current,Y,166733,Sebastes paucispinis,Bocaccio,Southern Pacific Coast,3773,2013,6,2012,Full Update,Full acceptance,2013,2551.060059,"trillion eggs
",Female reproductive output,2029.5,SB25%,3247.199951,SB40%,1.256999969,0.786000013,1347,mt
10413,Bocaccio - Southern Pacific Coast,PFMC,Pacific Coast Groundfish,NWFSC / SWFSC,California Current,Y,166733,Sebastes paucispinis,Bocaccio,Southern Pacific Coast,6797,2015,9,2014,Benchmark,Full acceptance,2015,2607,million eggs,Female reproductive output,1772,SB25%,2835.199951,SB40%,1.470999956,0.920000017,1632,mt
10413,Bocaccio - Southern Pacific Coast,PFMC,Pacific Coast Groundfish,NWFSC / SWFSC,California Current,Y,166733,Sebastes paucispinis,Bocaccio,Southern Pacific Coast,7352,2017,6,2016,Full Update,Full acceptance,2017,3603,million larvae,Female reproductive output,1852.75,SB25%,2964.399902,SB40%,1.945000052,1.215000033,1934,mt
10546,Brown rockfish - Pacific Coast,PFMC,Pacific Coast Groundfish,NWFSC / SWFSC,California Current,Y,166708,Sebastes auriculatus,Brown rockfish,Pacific Coast,11818,2010,9,2009,New,Full acceptance,,,,,,,,,,,,
10546,Brown rockfish - Pacific Coast,PFMC,Pacific Coast Groundfish,NWFSC / SWFSC,California Current,Y,166708,Sebastes auriculatus,Brown rockfish,Pacific Coast,3961,2013,11,2012,Benchmark,Full acceptance,2013,,Metric Tons,Mature female biomass,,SSB25%,,SSB40%,1.702999949,1.06400001,149.8999939,Metric Tons
10299,Cabezon - California,PFMC,Pacific Coast Groundfish,NWFSC / SWFSC,California Current,Y,692068,Scorpaenichthys marmoratus,Cabezon,California,288,2005,12,2004,Benchmark,Full acceptance,2005,516,mt,Spawning biomass,340,SPB25%,544,SPB40%,1.518000007,0.949000001,,
10299,Cabezon - California,PFMC,Pacific Coast Groundfish,NWFSC / SWFSC,California Current,Y,692068,Scorpaenichthys marmoratus,Cabezon,California,1916,2009,9,2008,Benchmark,Full acceptance,2009,627,mt (female biomass only),Spawning biomass,324.8269958,SPB25%,519.7230225,SPB40%,1.870000005,1.20599997,149,mt
